--------- beginning of main
04-13 17:14:25.853 14016 14107 D EGL_emulation: app_time_stats: avg=494.84ms min=485.99ms max=502.49ms count=3
04-13 17:14:25.863 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.872 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-0250000000f1/attribute/content-desc
04-13 17:14:25.873 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.876 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":null}
04-13 17:14:25.884 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-026d000000f1/attribute/displayed
04-13 17:14:25.885 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.906 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.912 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-026d000000f1/attribute/content-desc
04-13 17:14:25.913 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.916 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":null}
04-13 17:14:25.922 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-0271000000f1/attribute/displayed
04-13 17:14:25.922 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.926 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.930 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-0271000000f1/attribute/content-desc
04-13 17:14:25.931 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.935 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":null}
04-13 17:14:25.940 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-028c000000f1/attribute/displayed
04-13 17:14:25.940 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.943 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.948 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-028c000000f1/attribute/content-desc
04-13 17:14:25.949 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.953 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":null}
04-13 17:14:25.958 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-0295000000f1/attribute/displayed
04-13 17:14:25.958 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.961 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.966 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-0295000000f1/attribute/content-desc
04-13 17:14:25.967 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.970 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":null}
04-13 17:14:25.974 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-028f000000f1/attribute/displayed
04-13 17:14:25.975 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.978 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.983 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-028f000000f1/attribute/content-desc
04-13 17:14:25.983 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.986 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":null}
04-13 17:14:25.991 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-035d000000f1/attribute/displayed
04-13 17:14:25.991 13971 14004 I appium  : GetElementAttribute command
04-13 17:14:25.995 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":"true"}
04-13 17:14:25.999 13971 14004 I appium  : channel read: GET /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element/00000000-0000-009a-0000-035d000000f1/attribute/content-desc
04-13 17:14:26.001 13971 14004 I appium  : GetElementAttribute command
